Film_id,Title,Premiere,Runtime,Genres,Language,Type,Description,Age_certification,IMDB_id,IMDB_score,IMDB_votes,TMDB_score,TMDB_votes
tm461827,Who Would You Take to a Deserted Island?,"April 12, 2019",93,"Comedy, Drama",Spanish,MOVIE,"On their last night together, four longtime flatmates' lives are suddenly upended when a secret is revealed during the course of an evening celebration.",UNKNOWN,tt8976832,5.3,2487.0,5.0,9.328
tm239774,XOXO,"August 26, 2016",92,"Music, Drama",English,MOVIE,"XOXO follows six strangers whose lives collide in one frenetic, dream-chasing, hopelessly romantic night.",UNKNOWN,tt4855748,5.3,7021.0,6.0,16.887
tm932595,A Babysitter's Guide to Monster Hunting,"October 15, 2020",98,"Family, Fantasy, Adventure, Comedy",English,MOVIE,"Recruited by a secret society of babysitters, a high schooler battles the Boogeyman and his monsters when they nab the boy she's watching on Halloween.",pg,tt4844150,5.4,4172.0,6.2,39.595
tm838765,A Christmas Prince: The Royal Baby,"December 5, 2019",85,"Romance, Family",English,MOVIE,"Christmas brings the ultimate gift to Aldovia: a royal baby. But first, Queen Amber must help her family and kingdom by finding a missing peace treaty.",UNKNOWN,tt10006006,5.4,6764.0,6.4,15.638
tm463038,Despite Everything,"May 3, 2019",78,Comedy,Spanish,MOVIE,"Sara, Lucía, Sofía and Claudia are sisters, 4 modern women with very different personalities, who come together at their mother's funeral, after which they discover the man they've all called ""dad"" throughout their lives is not really their father. They embark on a quest to discover who their real fathers are, discovering more about themselves, their mother, and their lives.",UNKNOWN,tt9150970,5.4,4956.0,6.0,14.306
tm838007,Dolly Kitty and Those Twinkling Stars,"September 18, 2020",120,"Comedy, Drama",Hindi,MOVIE,"A disillusioned Delhi wife (Dolly), and her new-in-town cousin (Kitty), navigate damning secrets, dreams and their thorny dynamic on their respective roads to freedom.",r,tt9176296,5.4,7580.0,5.9,2.456
tm321224,"Game Over, Man!","March 23, 2018",101,"Action, Comedy",English,MOVIE,Three friends are on the verge of getting their video game financed when their benefactor is taken hostage by terrorists.,r,tt3317234,5.4,30218.0,5.5,14.358
tm413660,In the Tall Grass,"October 4, 2019",101,"Horror, Drama, Thriller",English,MOVIE,"After hearing a child screaming for help from the green depths of a vast field of tall grass, Becky, a pregnant woman, and Cal, her brother, park their car near a mysterious abandoned church and recklessly enter the field, discovering that they are not alone and because of some reason they are unable of escaping a completely inextricable vegetable labyrinth.",UNKNOWN,tt4687108,5.4,55276.0,5.5,15.188
tm1023388,Madame Claude,"April 2, 2021",112,"Crime, Drama, Romance",French,MOVIE,"Paris, the late 1960s. Madame Claude is at the head of a flourishing business dedicated to prostitution that gives her power over both the french political and criminal worlds. But the end of her empire is closer than she thinks.",UNKNOWN,tt10307724,5.4,3402.0,5.8,15.666
tm285298,Naked,"August 11, 2017",96,Comedy,English,MOVIE,"Following a wild night out with his Best Man, Rob Anderson wakes up to find himself naked in an elevator on the morning of his wedding day and is forced to relive the morning over and over again.",UNKNOWN,tt6048930,5.4,19482.0,5.7,21.822
tm983270,Outside the Wire,"January 15, 2021",114,"Thriller, Action, Science Fiction",English,MOVIE,"In the near future, a drone pilot is sent into a deadly militarized zone and must work with an android officer to locate a doomsday device.",r,tt10451914,5.4,42078.0,6.4,87.801
tm895839,Under the Riccione Sun,"July 1, 2020",101,"Comedy, Romance",Italian,MOVIE,"While vacationing on the crowded beaches of Riccione, a group of teenagers becomes fast friends as they grapple with relationship issues and romance.",UNKNOWN,tt10941528,5.4,2463.0,6.2,13.561
tm228242,A Very Murray Christmas,"December 4, 2015",56,"Comedy, Music, TV Movie",English,MOVIE,"Bill Murray worries no one will show up to his TV show due to a massive snowstorm in New York City. Through luck and perseverance, guests arrive at Gotham’s Carlyle Hotel to help him — dancing and singing in holiday spirit.",UNKNOWN,tt4537842,5.5,15455.0,5.3,9.185
tm434883,Been So Long,"October 26, 2018",100,"Drama, Music, Romance",English,MOVIE,A single mother in London's Camden Town hears music when she meets a handsome stranger with a past. But she's not sure she's ready to open her heart.,UNKNOWN,tt1682886,5.5,1108.0,5.7,5.732
